doi_o,title_o,author_o,journal_o,year_o,doi_r,title_r,author_r,journal_r,year_r,url_r,outcome,outcome_quote,type
10.1016/0010-0285(72)90003-5,Sentence memory: A constructive versus interpretive approach,"[{""given"":""John D."",""family"":""Bransford"",""sequence"":""first""},{""given"":""J.Richard"",""family"":""Barclay"",""sequence"":""additional""},{""given"":""Jeffery J."",""family"":""Franks"",""sequence"":""additional""}]",Cognitive Psychology,1972,10.17605/osf.io/bu3gm,Spontaneous construction of causally relevant spatial models: Bulgarian replication of the model-type effect,"[{""given"":""Nikolay R."",""family"":""Rachev"",""sequence"":""first""}]",OSF Registries,2025,NA,uninformative,"Unlike Bransford et al. (1972), I found no significant model type (same/different) by probe type (old/new) interaction effect on the recognition scores.",replication
10.1037/h0080111,Against parafoveal semantic preprocessing during eye fixations in reading.,"[{""given"":""Keith"",""family"":""Rayner"",""sequence"":""first""},{""given"":""David A."",""family"":""Balota"",""sequence"":""additional""},{""given"":""Alexander"",""family"":""Pollatsek"",""sequence"":""additional""}]",Canadian Journal of Psychology / Revue canadienne de psychologie,1986,10.3758/s13423-014-0582-9,Lack of semantic parafoveal preview benefit in reading revisited,"[{""given"":""Keith"",""family"":""Rayner"",""sequence"":""first""},{""given"":""Elizabeth R."",""family"":""Schotter"",""sequence"":""additional""},{""given"":""Denis"",""family"":""Drieghe"",""sequence"":""additional""}]",Psychonomic Bulletin & Review,2014,NA,successful,"“Thus, the present experiment replicates the earlier data reported by Rayner et al. (1986), indicating evidence for an orthographic preview benefit but a lack of semantic preview benefit in reading English.”",replication
10.1093/hmg/ddp542,Comprehensive follow-up of the first genome-wide association study of multiple sclerosis identifies KIF21B and TMEM39A as susceptibility loci,"[{""sequence"":""first""},{""given"":""Jacob L."",""family"":""McCauley"",""sequence"":""additional""},{""given"":""Rebecca L."",""family"":""Zuvich"",""sequence"":""additional""},{""given"":""Ashley H."",""family"":""Beecham"",""sequence"":""additional""},{""given"":""Philip L."",""family"":""De Jager"",""sequence"":""additional""},{""given"":""Ioanna"",""family"":""Konidari"",""sequence"":""additional""},{""given"":""Patrice L."",""family"":""Whitehead"",""sequence"":""additional""},{""given"":""Cristin"",""family"":""Aubin"",""sequence"":""additional""},{""given"":""Maria"",""family"":""Ban"",""sequence"":""additional""},{""given"":""Susan"",""family"":""Pobywajlo"",""sequence"":""additional""},{""given"":""Rebeccah"",""family"":""Briskin"",""sequence"":""additional""},{""given"":""Susan"",""family"":""Romano"",""sequence"":""additional""},{""given"":""Neelum T."",""family"":""Aggarwal"",""sequence"":""additional""},{""given"":""Laura"",""family"":""Piccio"",""sequence"":""additional""},{""given"":""Wendy L."",""family"":""McArdle"",""sequence"":""additional""},{""given"":""David P."",""family"":""Strachan"",""sequence"":""additional""},{""given"":""Denis"",""family"":""Evans"",""sequence"":""additional""},{""given"":""Anne H."",""family"":""Cross"",""sequence"":""additional""},{""given"":""Bruce"",""family"":""Cree"",""sequence"":""additional""},{""given"":""John D."",""family"":""Rioux"",""sequence"":""additional""},{""given"":""Lisa F."",""family"":""Barcellos"",""sequence"":""additional""},{""given"":""Adrian J."",""family"":""Ivinson"",""sequence"":""additional""},{""given"":""Alastair"",""family"":""Compston"",""sequence"":""additional""},{""given"":""David A."",""family"":""Hafler"",""sequence"":""additional""},{""given"":""Stephen L."",""family"":""Hauser"",""sequence"":""additional""},{""given"":""Jorge R."",""family"":""Oksenberg"",""sequence"":""additional""},{""given"":""Stephen J."",""family"":""Sawcer"",""sequence"":""additional""},{""given"":""Margaret A."",""family"":""Pericak-Vance"",""sequence"":""additional""},{""given"":""Jonathan L."",""family"":""Haines"",""sequence"":""additional""}]",Human Molecular Genetics,2009,10.1136/jmg.2009.075911,Replication of KIF21B as a susceptibility locus for multiple sclerosis: Table 1,"[{""given"":""A"",""family"":""Goris"",""sequence"":""first""},{""given"":""S"",""family"":""Boonen"",""sequence"":""additional""},{""given"":""M-B"",""family"":""D'hooghe"",""sequence"":""additional""},{""given"":""B"",""family"":""Dubois"",""sequence"":""additional""}]",Journal of Medical Genetics,2010,NA,successful,We here replicate the association with multiple sclerosis in a Belgian study population of 791 patients and 1098 controls.,replication
10.1016/s2213-8587(18)30051-2,Novel subgroups of adult-onset diabetes and their association with outcomes: a data-driven cluster analysis of six variables,"[{""given"":""Emma"",""family"":""Ahlqvist"",""sequence"":""first""},{""given"":""Petter"",""family"":""Storm"",""sequence"":""additional""},{""given"":""Annemari"",""family"":""Käräjämäki"",""sequence"":""additional""},{""given"":""Mats"",""family"":""Martinell"",""sequence"":""additional""},{""given"":""Mozhgan"",""family"":""Dorkhan"",""sequence"":""additional""},{""given"":""Annelie"",""family"":""Carlsson"",""sequence"":""additional""},{""given"":""Petter"",""family"":""Vikman"",""sequence"":""additional""},{""given"":""Rashmi B"",""family"":""Prasad"",""sequence"":""additional""},{""given"":""Dina Mansour"",""family"":""Aly"",""sequence"":""additional""},{""given"":""Peter"",""family"":""Almgren"",""sequence"":""additional""},{""given"":""Ylva"",""family"":""Wessman"",""sequence"":""additional""},{""given"":""Nael"",""family"":""Shaat"",""sequence"":""additional""},{""given"":""Peter"",""family"":""Spégel"",""sequence"":""additional""},{""given"":""Hindrik"",""family"":""Mulder"",""sequence"":""additional""},{""given"":""Eero"",""family"":""Lindholm"",""sequence"":""additional""},{""given"":""Olle"",""family"":""Melander"",""sequence"":""additional""},{""given"":""Ola"",""family"":""Hansson"",""sequence"":""additional""},{""given"":""Ulf"",""family"":""Malmqvist"",""sequence"":""additional""},{""given"":""Åke"",""family"":""Lernmark"",""sequence"":""additional""},{""given"":""Kaj"",""family"":""Lahti"",""sequence"":""additional""},{""given"":""Tom"",""family"":""Forsén"",""sequence"":""additional""},{""given"":""Tiinamaija"",""family"":""Tuomi"",""sequence"":""additional""},{""given"":""Anders H"",""family"":""Rosengren"",""sequence"":""additional""},{""given"":""Leif"",""family"":""Groop"",""sequence"":""additional""}]",The Lancet Diabetes & Endocrinology,2018,10.1007/s00125-021-05490-8,Replication and cross-validation of type 2 diabetes subtypes based on clinical variables: an IMI-RHAPSODY study,"[{""given"":""Roderick C."",""family"":""Slieker"",""sequence"":""first"",""ORCID"":""https://orcid.org/0000-0003-0961-9152""},{""given"":""Louise A."",""family"":""Donnelly"",""sequence"":""additional""},{""given"":""Hugo"",""family"":""Fitipaldi"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0001-5352-2134""},{""given"":""Gerard A."",""family"":""Bouland"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-4311-8725""},{""given"":""Giuseppe N."",""family"":""Giordano"",""sequence"":""additional""},{""given"":""Mikael"",""family"":""Åkerlund"",""sequence"":""additional""},{""given"":""Mathias J."",""family"":""Gerl"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-8074-7221""},{""given"":""Emma"",""family"":""Ahlqvist"",""sequence"":""additional""},{""given"":""Ashfaq"",""family"":""Ali"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-0164-2166""},{""given"":""Iulian"",""family"":""Dragan"",""sequence"":""additional""},{""given"":""Andreas"",""family"":""Festa"",""sequence"":""additional""},{""given"":""Michael K."",""family"":""Hansen"",""sequence"":""additional""},{""given"":""Dina"",""family"":""Mansour Aly"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-9510-4691""},{""given"":""Min"",""family"":""Kim"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-8769-4804""},{""given"":""Dmitry"",""family"":""Kuznetsov"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-9972-947X""},{""given"":""Florence"",""family"":""Mehl"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-9619-1707""},{""given"":""Christian"",""family"":""Klose"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0003-2853-4533""},{""given"":""Kai"",""family"":""Simons"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-9231-9996""},{""given"":""Imre"",""family"":""Pavo"",""sequence"":""additional""},{""given"":""Timothy J."",""family"":""Pullen"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-6853-5701""},{""given"":""Tommi"",""family"":""Suvitaival"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-2583-4912""},{""given"":""Asger"",""family"":""Wretlind"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0001-6083-5227""},{""given"":""Peter"",""family"":""Rossing"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-1531-4294""},{""given"":""Valeriya"",""family"":""Lyssenko"",""sequence"":""additional""},{""given"":""Cristina"",""family"":""Legido-Quigley"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-4018-214X""},{""given"":""Leif"",""family"":""Groop"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-0187-3263""},{""given"":""Bernard"",""family"":""Thorens"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-3738-0129""},{""given"":""Paul W."",""family"":""Franks"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-0520-7604""},{""given"":""Mark"",""family"":""Ibberson"",""sequence"":""additional""},{""given"":""Guy A."",""family"":""Rutter"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0001-6360-0343""},{""given"":""Joline W. J."",""family"":""Beulens"",""sequence"":""additional""},{""given"":""Leen M."",""family"":""‘t Hart"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0003-4401-2938""},{""given"":""Ewan R."",""family"":""Pearson"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0001-9237-8585""}]",Diabetologia,2021,NA,successful,"Clusters based on C-peptide instead of HOMA2 measures resemble those based on HOMA2 measures, especially for SIDD, SIRD and MOD.",replication
10.1080/01690960802164242,Doesdarknesslead tohappiness? Masked suffix priming effects,"[{""given"":""Jon"",""family"":""Andoni Duñabeitia"",""sequence"":""first""},{""given"":""Manuel"",""family"":""Perea"",""sequence"":""additional""},{""given"":""Manuel"",""family"":""Carreiras"",""sequence"":""additional""}]",Language and Cognitive Processes,2008,10.1007/s11145-018-9858-1,Morphological effects in word identification: tracking the developmental trajectory of derivational suffixes in Spanish,"[{""given"":""Miguel"",""family"":""Lázaro"",""sequence"":""first"",""ORCID"":""https://orcid.org/0000-0001-8073-3957""},{""given"":""Víctor"",""family"":""Illera"",""sequence"":""additional""},{""given"":""Joana"",""family"":""Acha"",""sequence"":""additional""},{""given"":""Ainoa"",""family"":""Escalonilla"",""sequence"":""additional""},{""given"":""Seila"",""family"":""García"",""sequence"":""additional""},{""given"":""Javier S."",""family"":""Sainz"",""sequence"":""additional""}]",Reading and Writing,2018,NA,successful,"Results in adults replicate previous studies by showing that only the related condition of complex words elicits a significant facilitation (see Duabeitia, Perea, & Carreiras, 2008).",replication
10.1002/tea.21227,"“Science capital”: A conceptual, methodological, and empirical argument for extending bourdieusian notions of capital beyond the arts","[{""given"":""Louise"",""family"":""Archer"",""sequence"":""first""},{""given"":""Emily"",""family"":""Dawson"",""sequence"":""additional""},{""given"":""Jennifer"",""family"":""DeWitt"",""sequence"":""additional""},{""given"":""Amy"",""family"":""Seakins"",""sequence"":""additional""},{""given"":""Billy"",""family"":""Wong"",""sequence"":""additional""}]",Journal of Research in Science Teaching,2015,10.1080/02671522.2019.1678062,Who has high science capital? An exploration of emerging patterns of science capital among students aged 17/18 in England,"[{""given"":""Julie"",""family"":""Moote"",""sequence"":""first"",""ORCID"":""https://orcid.org/0000-0002-8154-0847""},{""given"":""Louise"",""family"":""Archer"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-0254-4234""},{""given"":""Jennifer"",""family"":""DeWitt"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0001-8584-2888""},{""given"":""Emily"",""family"":""MacLeod"",""sequence"":""additional""}]",Research Papers in Education,2019,NA,successful,"It replicates and extends previous findings, showing that among older students, levels of science capital remain patterned by gender, ethnicity, cultural capital and science set.",replication
10.1037/h0093718,Studies of independence and conformity: I. A minority of one against a unanimous majority.,"[{""given"":""Solomon E."",""family"":""Asch"",""sequence"":""first""}]",Psychological Monographs: General and Applied,1956,10.1371/journal.pone.0294325,The power of social influence: A replication and extension of the Asch experiment,"[{""given"":""Axel"",""family"":""Franzen"",""sequence"":""first"",""ORCID"":""https://orcid.org/0000-0001-6660-8607""},{""given"":""Sebastian"",""family"":""Mader"",""sequence"":""additional""}]",PLOS ONE,2023,NA,successful,"We find an error rate of 33% for the standard length-of-line experiment which replicates the original findings by Asch (1951, 1955, 1956).",replication
10.1037/h0093718,Studies of independence and conformity: I. A minority of one against a unanimous majority.,"[{""given"":""Solomon E."",""family"":""Asch"",""sequence"":""first""}]",Psychological Monographs: General and Applied,1956,10.31820/pt.28.3.7,"Replication of the ""Asch effect"" in Bosnia and Herzegovin,Replikacija Aschova efekta u Bosni i Hercegovini","[{""given"":""Muamer"",""family"":""Ušto"",""sequence"":""first""},{""given"":""Saša"",""family"":""Drače"",""sequence"":""additional"",""ORCID"":""https://orcid.org/0000-0002-7340-5397""},{""given"":""Nina"",""family"":""Hadžiahmetović"",""sequence"":""additional""}]",Psihologijske teme,2019,NA,successful,"the results revealed a clear-cut and powerful ""Asch effect"" wherein participants followed the majority in 35.4% of critical trials.",replication
10.1177/0022219409335218,Emergent Literacy Intervention for Prekindergarteners at Risk for Reading Failure,"[{""given"":""Laura L."",""family"":""Bailet"",""sequence"":""first""},{""given"":""Karla K."",""family"":""Repper"",""sequence"":""additional""},{""given"":""Shayne B."",""family"":""Piasta"",""sequence"":""additional""},{""given"":""Suzanne P."",""family"":""Murphy"",""sequence"":""additional""}]",Journal of Learning Disabilities,2009,10.1080/10409289.2018.1475202,Efficacy of the Nemours BrightStart! Early Literacy Program: Treatment Outcomes From a Randomized Trial With At-Risk Prekindergartners,"[{""given"":""Cynthia M."",""family"":""Zettler-Greeley"",""sequence"":""first"",""ORCID"":""https://orcid.org/0000-0003-2256-2971""},{""given"":""Laura L."",""family"":""Bailet"",""sequence"":""additional""},{""given"":""Suzanne"",""family"":""Murphy"",""sequence"":""additional""},{""given"":""Teri"",""family"":""DeLucca"",""sequence"":""additional""},{""given"":""Lee"",""family"":""Branum-Martin"",""sequence"":""additional""}]",Early Education and Development,2018,NA,successful,"replicating previous findings for the screener, rhyming, and print knowledge, and extending them to elision.",replication
10.1093/scan/nsn004,Oxytocin receptor (OXTR) and serotonin transporter (5-HTT) genes associated with observed parenting,"[{""given"":""Marian J."",""family"":""Bakermans-Kranenburg"",""sequence"":""first""},{""given"":""Marinus H."",""family"":""van IJzendoorn"",""sequence"":""additional""}]",Social Cognitive and Affective Neuroscience,2008,10.1037/fam0000034,A constructive replication of the association between the oxytocin receptor genotype and parenting.,"[{""given"":""Ashlea M."",""family"":""Klahr"",""sequence"":""first"",""ORCID"":""https://orcid.org/0000-0002-7009-4490""},{""given"":""Kelly"",""family"":""Klump"",""sequence"":""additional""},{""given"":""S. Alexandra"",""family"":""Burt"",""sequence"":""additional""}]",Journal of Family Psychology,2015,NA,successful,"This finding not only serves as a constructive replication of previous research examining the relationship between variants within OXTR and parenting (Bakermans-Kranenburg & van IJzendoorn, 2008; Feldman et al., 2012; Michalska et al., 2014)",replication
